alt_allele	end_gene	end	start_gene	Segment_Mean	genes	Sample	start	chr	build	Num_Probes	start_exon	end_exon	ref_allele	Segment_Call
		11121000	TATDN2	-0.070876	AC018495.2,AC018495.3,AC018502.1,AC018839.1,AC024910.2,ATP2B2,GHRL,GHRLOS,GHRLOS2,MIR378B,MIR885,RF02126,RP11-438J1.1,SEC13,SLC6A1,SLC6A11,TATDN2		10276001	chr3		806	4+			0
	CAND2	12820000		0.120540	AC026166.1,AC026166.2,AC026170.2,AC026185.1,AC034198.5,AC083855.4,AC083855.5,AC090958.1,AC090958.2,AC090958.4,AC090958.5,AC090958.6,AC091492.2,AC091492.3,ATG7,CAND2,HRH1,MKRN2,MKRN2OS,PPARG,RAF1,RF00017,RN7SL147P,RNA5SP123,RNU6-377P,RP11-169K17.2,RP11-169K17.3,RP11-169K17.4,SYN2,TAMM41,TIMP4,TMEM40,TSEN2,VGLL4		11121001	chr3		1423		9-		0
	FGD5	14879000	CAND2	0.003044	AC027124.2,AC027124.3,AC027124.4,AC034198.7,AC090952.4,AC090952.5,AC090957.2,AC093495.4,AC093611.1,C3orf20,CAND2,CCDC174,CHCHD4,FBLN2,FGD5,FGD5P1,GRIP2,HDAC11,IQSEC1,LSM3,NUP210,RNA5SP124,RNU6-905P,RP11-434D12.1,RP11-536I6.1,RP11-536I6.2,RP11-588H7.1,RP11-715I4.1,RP11-767C1.1,RP11-767C1.2,RP11-95M5.1,RPL32,SLC6A6,SNORA7A,TMEM43,TPRXL,VN1R20P,VN1R21P,WNT7A,XPC		12820001	chr3		1962	10+	1-		0
		23614000	FGD5	0.035167	AC009429.1,AC027125.2,AC087590.3,AC090937.2,AC090945.1,AC090954.4,AC090954.5,AC090960.1,AC091491.2,AC091493.1,AC091493.2,AC092421.1,AC096918.1,AC097635.2,AC099057.8,AC099544.1,AC099544.2,AC104297.1,AC104297.2,AC104451.2,AC105765.1,AC114477.1,AC121251.1,AC121253.1,AC132807.1,AC135966.1,AC140076.1,AC144521.1,ANKRD28,BTD,CAPN7,COL6A4P1,COLQ,DAZL,DPH3,EAF1,EFHB,FGD5,GALNT15,HACL1,KAT2B,KCNH8,METTL6,MIR3134,MIR3135A,MIR3714,MIR4270,MIR4791,MIR563,MRPS25,NR2C2,OXNAD1,PLCL2,PP2D1,RAB5A,RBSN,RF00019,RFTN1,RN7SL110P,RN7SL4P,RNU4-85P,RNU6-1024P,RNU6-138P,RNU6-454P,RNU6-815P,RNU6-822P,RNU6-922P,RNU7-10P,RP11-1037D22.1,RP11-158G18.1,RP11-194G10.1,RP11-194G10.3,RP11-320G10.1,RP11-415F23.2,RP11-415F23.3,RP11-415F23.4,RP11-44D5.1,RP11-44D5.2,RP11-584M7.3,RP11-608O8.2,RP11-669C19.1,RP11-901H12.1,RPL39P18,SAP18P3,SATB1,SGO1,SH3BP5,TBC1D5,UBE2E2,VENTXP7,ZNF385D		14879001	chr3		8234	2+			0
		24049000		0.168103	AC020626.1,AC124914.3,NKIRAS1,NR1D2,RNU6-788P,RPL15,UBE2E1		23614001	chr3		420				0
	NEK10	27315000		0.034367	AC012087.1,AC012087.2,AC092798.2,AC092798.3,AC093411.1,AC093416.3,AC093555.1,AC098477.1,AC098971.1,AC098971.2,AC099754.1,AC112217.1,AC112217.2,AC114877.3,AC133141.1,AC133680.1,AC139932.1,LINC00692,LRRC3B,MIR4442,MIR4792,NEK10,NGLY1,OXSM,RARB,RF01161,RF02271,RN7SL216P,RNA5SP125,RNA5SP126,RNU6-342P,RP11-317L10.1,THRB,TOP2B,VENTXP4		24049001	chr3		3135		7+		0
		27681000	NEK10	0.204184	AC098614.1,AC098614.2,AC099535.3,AC099535.4,AC137675.1,NEK10,RF00019,RNU1-96P,RP11-222K16.1,SLC4A7		27315001	chr3		342	6-			+
		31399000		0.066704	AC012262.1,AC021068.1,AC092415.1,AC092796.1,AC093142.2,AC093142.3,AC096921.2,AC097361.1,AC098614.3,AC098647.1,AC098650.1,AC098973.1,AC098973.2,AC099048.1,AC115283.1,AC116035.1,AC116035.2,AZI2,CMC1,EOMES,GADL1,MIR466,RBMS3,RF00012,RF01848,RNA5SP127,RP11-1024P17.1,RP11-222K16.2,RP11-9J18.1,TGFBR2,ZCWPW2		27682001	chr3		3564				0
	PDCD6IP	33838000		0.227492	AC092024.2,AC094019.1,AC094019.2,AC094019.4,AC097639.4,AC097639.8,AC099540.1,AC104306.1,AC104306.4,AC104306.5,AC107620.1,AC112211.2,AC112211.3,AC112220.1,AC112220.2,AC123900.2,AC132515.1,AC138972.1,AC138972.2,AC139452.2,CCR4,CLASP2,CMTM6,CMTM7,CMTM8,CNOT10,CRTAP,DYNC1LI1,FBXL2,GLB1,GPD1L,MIR548AY,OSBPL10,PDCD6IP,RF00019,RF00402,RN7SL296P,RNA5SP128,RNU7-110P,RP11-1005I1.1,RP11-10C24.1,RP11-10C24.2,RP11-10C24.3,RP11-384L8.1,RP11-384L8.2,RP11-627J17.1,STT3B,SUSD5,TMPPE,TRIM71,UBP1,ZNF860		31399001	chr3		2279		7-		+
	AC104308.2	35872000	PDCD6IP	0.115448	AC018359.1,AC018359.3,AC092054.1,AC104308.2,AC109585.1,AC123023.1,ARPP21,MIR128-2,PDCD6IP,RNU6-243P,RP11-380G10.1		33838001	chr3		1941	8+	0-		0
		35969000	AC104308.2	-0.608181	AC104308.2		35872001	chr3		91	0+			-
		36048000		-0.554517			35969001	chr3		74				-
		36068000		-0.798797			36050001	chr3		17				-
		36112000		-0.660522			36068001	chr3		40				-
		36122000		-0.641175			36112001	chr3		10				-
	DCLK3	36762000		-0.615988	AC098648.2,AC105901.1,DCLK3,RN7SKP227,STAC		36122001	chr3		607		1+		-
		36800000	DCLK3	-0.629001	AC105749.1,DCLK3		36762001	chr3		36	0-			-
		36957000		-0.547575	AC011816.1,RP11-640L9.1,RP11-640L9.2,TRANK1		36800001	chr3		149				-
		37230000		-0.440772	AC011816.3,AC011816.4,AC097359.2,AC126118.1,AC126118.2,EPM2AIP1,LRRFIP2,MLH1,RF00019,RNU6-1301P,RNU6ATAC4P,RP11-129K12.1,RP11-259K5.1,RP11-285J16.1		36957001	chr3		248				-
	ITGA9	37475000		-0.503484	AC136290.1,GOLGA4,ITGA9,RNA5SP129,RP11-259K5.2,RP11-259K5.3		37230001	chr3		237		2-		-
	ITGA9	37569000	ITGA9	-0.670067	ITGA9		37475001	chr3		94	3+	14-		-
	ITGA9	37602000	ITGA9	-0.760603	ITGA9,RNU7-73P		37569001	chr3		32	15+	14-		-
	ITGA9	37784000	ITGA9	-0.637651	AC093415.2,AC093415.4,ITGA9		37602001	chr3		177	15+	24-		-
		38529000	ITGA9	-0.597547	AC093415.2,AC093415.5,AC144536.4,ACAA1,ACVR2B,CTDSPL,DLEC1,EXOG,ITGA9,MIR26A1,MYD88,OXSR1,PLCD1,RF00019,RNU6-235P,RP11-213K17.1,RP11-216F19.1,RP11-660I20.1,RP11-660I20.4,RP11-815I22.1,SLC22A13,SLC22A14,VILL,XYLB		37784001	chr3		705	25+			-
	SCN5A	38564000		-0.727947	SCN5A		38529001	chr3		32		20+		-
	SCN10A	38761000	SCN5A	-0.677136	SCN10A,SCN5A		38564001	chr3		189	19-	7+		-
	SCN10A	38776000	SCN10A	-0.382118	SCN10A		38761001	chr3		14	6-	4+		-
	CSRNP1	39145000	SCN10A	-0.623476	CSRNP1,GORASP1,MIR6822,RNU6-1227P,RP11-134J21.1,SCN10A,SCN11A,TTC21A,WDR48		38776001	chr3		347	3-	2+		-
	CX3CR1	39266000	CSRNP1	-0.603134	CSRNP1,CX3CR1,RF00017,RP11-331G2.4,RP11-331G2.7,RP11-331G2.8,XIRP1		39145001	chr3		115	2-	1+		-
		39282000	CX3CR1	-0.683776	CX3CR1		39266001	chr3		16	1-			-
	EIF1B-AS1	40280000		-0.614132	CCR8,EIF1B-AS1,MOBP,MYRIP,RF00264,RN7SL411P,RNU4-56P,RP11-241K18.1,RP11-241K18.2,RP11-241K18.3,RP11-331G2.6,RP11-420K5.1,RPSA,SLC25A38,SNORA6,SNORA62		39282001	chr3		943		2+		-
		40584000	EIF1B-AS1	-0.530968	EIF1B,EIF1B-AS1,ENTPD3,RNU5B-2P,RP11-391M1.2,RP11-391M1.3,RPL14,ZNF619,ZNF620,ZNF621		40280001	chr3		282	1-			-
		40999000		-0.605251	RP11-20O23.1,RP11-520A21.1,RP11-528N21.1,RP11-528N21.2,RP11-528N21.3,RP11-761N21.1,RP11-761N21.2		40584001	chr3		397				-
		41024000		-0.380294			40999001	chr3		23				-
	ULK4	41267000		-0.625701	CTNNB1,MRPS31P1,RP11-372H2.1,ULK4		41024001	chr3		234		35+		-
		42369000	ULK4	-0.524079	CCK,RF00019,RF00096,RF00602,RN7SKP58,RNU4-78P,RP11-193I22.1,RP11-193I22.2,RP11-241P3.1,RP11-241P3.2,RP11-333B11.1,RP11-523D22.1,RP11-626A1.1,RP11-626A1.2,TRAK1,ULK4		41267001	chr3		1010	34-			-
		42391000		-0.735068			42369001	chr3		21				-
		42446000		-0.683333	LYZL4		42391001	chr3		53				-
	VIPR1	42500000		-0.581075	RP11-219I21.1,VIPR1		42446001	chr3		52		0-		-
	SEC22C	42558000	VIPR1	-0.726488	RP11-219I21.2,SEC22C,VIPR1		42500001	chr3		56	1+	4+		-
	SEC22C	42566000	SEC22C	-0.676542	SEC22C		42558001	chr3		8	3-	2+		-
	SEC22C	42575000	SEC22C	-0.322585	SEC22C		42566001	chr3		9	1-	1+		-
	SS18L2	42587000	SEC22C	-0.359583	SEC22C,SS18L2		42575001	chr3		12	0-	0-		-
	ZBTB47	42663000	SS18L2	-0.536358	NKTR,RP4-613B23.1,SEC22C,SS18L2,ZBTB47		42587001	chr3		72	1+	2-		-
		42708000	ZBTB47	-0.618112	HHATL,KLHL40,RN7SL567P,RP4-613B23.3,ZBTB47		42663001	chr3		43	3+			-
	ACKR2	42830000		-0.551794	ACKR2,CCDC13,HIGD1A,KRBOX1,RP11-141M3.6,RP11-70C1.1,RP4-613B23.4,RP4-613B23.5		42708001	chr3		116		1-		-
	FAM198A	42989000	ACKR2	-0.602772	ACKR2,CYP8B1,FAM198A,KRBOX1,RP11-136C24.3,RP11-141M3.1,RP11-141M3.3,RP11-141M3.6,RP11-70C1.3,ZNF662		42830001	chr3		147	2+	0-		-
	ANO10	43394000	FAM198A	-0.630587	ANO10,FAM198A,POMGNT2,RN7SL517P,RP11-136C24.1,RP11-136C24.2,RP11-136C24.3,RP11-188P20.2,RP11-188P20.3,SNRK		42990001	chr3		381	1+	11+		-
	ANO10	43413000	ANO10	-0.586944	ANO10		43395001	chr3		18	10-	11+		-
		44100000	ANO10	-0.604157	ABHD5,ANO10,RF00019,RNU6-367P,RP11-353H3.1,RP4-555D20.3,RP4-555D20.4,RP4-672N11.1		43414001	chr3		649	10-			-
		44180000		-0.785766	MIR138-1,RP4-555D20.1,RP4-555D20.2		44100001	chr3		77				-
		45261000		-0.616205	CDCP1,CLEC3B,EXOSC7,KIAA1143,KIF15,MIR564,RF00012,RNU5B-3P,RP11-101C21.1,RP11-101C21.4,RP11-272D20.2,RP11-348P10.1,RP11-348P10.2,RP11-424N24.2,RP11-578F5.1,RP11-681O4.1,RP11-944L7.1,RP11-944L7.2,RP11-944L7.3,RP11-944L7.4,RP11-944L7.6,TCAIM,TGM4,TMEM158,TMEM42,TOPAZ1,ZDHHC3,ZKSCAN7,ZNF197,ZNF35,ZNF445,ZNF501,ZNF502,ZNF660,ZNF852		44180001	chr3		1019				-
		45306000		-0.598206			45261001	chr3		43				-
		45357000		-0.786950			45306001	chr3		48				-
		45386000		-0.348176			45357001	chr3		28				-
	LARS2	45398000		-0.569969	LARS2		45386001	chr3		12		1-		-
		46286000	LARS2	-0.615750	CCR1,CCR3,CCR9,CXCR6,FYCO1,LARS2,LIMD1,LIMD1-AS1,LZTFL1,RF00019,RN7SL145P,RP11-107O13.1,RP11-697K23.3,RP11-793E15.1,RP11-852E15.1,RP11-91E8.1,SACM1L,SLC6A20,XCR1		45398001	chr3		847	2+			-
	LRRC2	46548000		-0.682016	CCR2,CCR5,CCRL2,LRRC2,LTF,RP11-24F11.2,RP11-24F11.5,RP13-546I2.1,RTP3		46286001	chr3		251		2+		-
	LRRC2	46551000	LRRC2	-0.777615	LRRC2		46548001	chr3		3	1-	2+		-
		46817000	LRRC2	-0.606390	AC104304.4,AC104439.4,AC134594.3,ALS2CL,LRRC2,LRRC2-AS1,PRSS45,PRSS50,RF00591,RP11-316F12.1,RP11-316F12.2,RP11-427P5.2,RP11-509I21.2,TDGF1,TMIE		46551001	chr3		243	1-			-
	ZNF589	48272000		-0.465629	AC094020.1,CAMP,CCDC12,CDC25A,CSPG5,DHX30,ELP6,KIF9,KLHL18,MAP4,MIR1226,MIR4443,MRP63P3,MYL3,NBEAL2,PRSS42,PTH1R,PTPN23,RF00019,RF02271,RN7SL664P,RN7SL870P,RNU7-128P,RP11-1029M24.1,RP11-1029M24.2,RP11-1029M24.3,RP11-1029M24.4,RP11-395P16.1,RP11-427P5.3,RP11-447D11.2,RP11-447D11.3,RP11-502L5.2,RP11-708J19.1,RP11-708J19.2,RP11-708J19.3,RP11-717D12.1,RP11-88B8.2,SCAP,SETD2,SMARCC1,SNORD13P3,ZNF589		46817001	chr3		1267		2-		-
	ZNF589	48281000	ZNF589	-0.742750	ZNF589		48272001	chr3		9	3+	2-		-
	SHISA5	48490000	ZNF589	-0.541610	ATRIP,CCDC51,CTD-3211M3.1,FBXW12,MIR2115,NME6,PLXNB1,RF00019,RN7SL321P,RP11-24C3.2,SHISA5,SPINK8,TMA7,TREX1,ZNF589		48281001	chr3		198	3+	2+		-
	CAMKV	49860000	SHISA5	-0.503453	AC099668.5,AMIGO3,AMT,APEH,ARIH2,ARIH2OS,BSN,C3orf62,C3orf84,CAMKV,CCDC36,CCDC71,CDHR4,CELSR3,COL7A1,DAG1,DALRD3,FAM212A,GMPPB,GPX1,IMPDH2,IP6K1,IP6K2,KLHDC8B,LAMB2,MIR191,MIR425,MIR4271,MIR4793,MIR5193,MIR6823,MIR6824,MIR6890,MIR711,MST1,NCKIPSD,NDUFAF3,NICN1,P4HTM,PFKFB4,PRKAR2A,QARS,QRICH1,RF00019,RHOA,RN7SL182P,RNA5SP130,RNF123,RP11-148G20.1,RP11-316M24.1,RP11-3B7.1,RP11-3B7.6,RP11-3B7.7,RP11-572O6.1,RP11-694I15.7,RP11-901L6.1,RP11-949J7.7,RP11-949J7.8,RP13-1056D16.2,RP13-131K19.1,RP13-131K19.2,RP13-131K19.6,RP13-131K19.7,RP13-131K19.8,RP13-480C15.1,SHISA5,SLC25A20,SLC26A6,TCTA,TMEM89,TRAIP,UBA7,UCN2,UQCRC1,USP19,USP4,WDR6		48490001	chr3		1177	1-	10+		-
	CTD-2330K9.3	49905000	CAMKV	-0.820940	AC105935.1,CAMKV,CTD-2330K9.2,CTD-2330K9.3,MST1R,RN7SL217P		49860001	chr3		38	9-	0-		-
	SLC38A3	50219000	CTD-2330K9.3	-0.483730	CTD-2330K9.3,GNAT1,MIR566,MON1A,RBM5,RBM5-AS1,RBM6,RP11-493K19.3,SEMA3F,SLC38A3		49905001	chr3		268	1+	13-		-
	DOCK3	50678000	SLC38A3	-0.715083	AC002481.5,C3orf18,CACNA2D2,CISH,CYB561D2,DOCK3,GNAI2,HEMK1,HYAL1,HYAL2,HYAL3,IFRD2,LSMEM2,MAPKAPK3,MIR4787,MIR5787,MIR6872,NAT6,NPRL2,RASSF1,RASSF1-AS1,RNA5SP131,RP11-804H8.6,RP11-804H8.7,SEMA3B,SLC38A3,TMEM115,TUSC2,U73166.2,U73167.7,XXcos-LUCA11.4,XXcos-LUCA11.5,XXcos-LUCA16.1,ZMYND10		50219001	chr3		437	14+	0-		-
	NEK4	52716000	DOCK3	-0.537756	ABHD14A,ABHD14A-ACY1,ABHD14B,ACY1,ALAS1,ALDOAP1,BAP1,DNAH1,DOCK3,DUSP7,GLT8D1,GLYCTK,GNL3,GPR62,GRM2,IQCF1,IQCF2,IQCF3,IQCF5,IQCF6,MANF,MIR135A1,MIRLET7G,NEK4,NISCH,NT5DC2,PARP3,PBRM1,PCBP4,PHF7,POC1A,PPM1M,RAD54L2,RBM15B,RF00569,RF01183,RN7SL504P,RNA5SP132,RNU6-856P,RNU6ATAC16P,RNU6ATAC29P,RP11-155D18.12,RP11-155D18.13,RP11-168J18.4,RP11-168J18.6,RP11-314A5.3,RP11-314A5.5,RP11-330H6.5,RP11-330H6.6,RP11-646D13.1,RP11-73I17.2,RP11-804H8.5,RP5-1157M23.2,RPL29,RRP9,SEMA3G,SMIM4,SNORD19,SNORD19B,SNORD69,SPCS1,STAB1,TEX264,TLR9,TNNC1,TWF2,VPRBP,WDR82,ZNF652P		50678001	chr3		1878	1+	15+		-
	NEK4	52728000	NEK4	-0.329497	NEK4		52716001	chr3		10	14-	15+		-
	ITIH3	52798000	NEK4	-0.500347	ITIH1,ITIH3,NEK4,RP5-966M1.4,RP5-966M1.5,RP5-966M1.7		52728001	chr3		67	14-	5-		-
	SFMBT1	52948000	ITIH3	-0.646335	ITIH3,ITIH4,MIR8064,MUSTN1,RP11-894J14.2,RP5-966M1.2,RP5-966M1.6,SFMBT1,TMEM110,TMEM110-MUSTN1		52798001	chr3		144	6+	3+		-
	SFMBT1	52987000	SFMBT1	-0.312391	SFMBT1		52948001	chr3		35	2-	1+		-
		53139000	SFMBT1	-0.528171	RFT1,RP11-5O17.1,RP11-5O17.2,RP11-894J14.5,SFMBT1		52987001	chr3		137	0-			-
	PRKCD	53181000		-0.608560	PRKCD		53139001	chr3		38		2-		-
	CACNA1D	53717000	PRKCD	-0.562428	CACNA1D,DCP1A,PRKCD,RF00019,RF00154,RF00568,RP11-72H11.1,SNORD38C,TKT		53181001	chr3		493	3+	8-		-
		54042000	CACNA1D	-0.662007	ACTR8,CACNA1D,CHDH,IL17RB,RP11-884K10.5,RP11-884K10.6,RP11-884K10.7		53717001	chr3		313	9+			-
	CACNA2D3	54346000		-0.669372	CACNA2D3,RP11-122D19.1		54042001	chr3		293		2-		-
	CACNA2D3	54475000	CACNA2D3	-0.673019	CACNA2D3		54346001	chr3		121	3+	3-		-
		56498000	CACNA2D3	0.066650	CACNA2D3,ERC2,ERC2-IT1,ESRG,LRTM1,MIR3938,RN7SKP45,RNA5SP133,RP11-554O1.1,RP11-58O15.1,RP11-64C1.1,RP11-674P14.1,RP11-875H7.1,RP11-875H7.2,RP11-875H7.4,RP11-875H7.5,RP11-889D3.1,RP11-889D3.2,WNT5A		54475001	chr3		1955	4+			0
		58326000		0.234958	ABHD6,APPL1,ARF4,ARF4-AS1,ARHGEF3,ASB14,CCDC66,DENND6A,DENND6A-AS1,DNAH12,DNASE1L3,FAM208A,FLNB,HESX1,IL17RD,PDE12,PDHA1P1,PPIAP16,RF00019,RNU6-108P,RNU6-1181P,RNU6-483P,RNU6ATAC26P,RP11-157F20.1,RP11-157F20.3,RP11-229A12.2,RP11-229A12.4,RP11-456N14.2,RP11-456N14.4,RP11-456N14.6,RP11-51O17.1,RP11-755B10.3,RP11-80H18.3,RPP14,SLMAP,SPATA12		56498001	chr3		1678				+
	FHIT	60468000		0.381205	ACOX2,C3orf67,CTD-2185K10.1,FAM107A,FAM3D,FHIT,KCTD6,PDHB,PXK,RF00017,RP11-147N17.1,RP11-285B24.1,RP11-359I18.1,RP11-359I18.5,RP11-475O23.2,RP11-475O23.3,RP11-719N22.1,RP11-719N22.2,RP11-802O23.3,RP11-802O23.4,RP11-80H18.4		58326001	chr3		2036		5+		+
		63688000	FHIT	0.443553	C3orf14,CADPS,FEZF2,FHIT,MIR548BB,PTPRG,RF00012,RF00019,RN7SL863P,RNA5SP134,RNU2-10P,RNU6-139P,RP11-1036F1.1,RP11-129K20.1,RP11-129K20.2,RP11-154D3.1,RP11-204J18.3,RP11-24H1.1,RP11-585O21.1,RP11-601G18.1,RP11-641C17.1,RP11-641C17.2,RP11-641C17.3,RP11-641C17.4,RPL10AP6,SNTN,SYNPR		60468001	chr3		3082	4-			+
	ADAMTS9	64576000		0.463140	AC136289.1,ADAMTS9,ATXN7,C3orf49,PRICKLE2,PSMD6,RF00012,RNU6-739P,RP11-129B22.1,RP11-129B22.2,RP11-129B22.4,RP11-129B22.5,RP11-129B22.6,RP11-129B22.7,RP11-14D22.1,RP11-14D22.5,RP11-245J9.2,RP11-245J9.4,RP11-245J9.5,RP11-245J9.6,RP11-245J9.8,RP11-245J9.9,RP11-50F24.3,SCAANT1,THOC7		63688001	chr3		857		28+		+
	MAGI1	65671000	ADAMTS9	0.400376	ADAMTS9,CTD-2230D16.1,MAGI1,RP11-14D22.5,RP11-543A18.1,RP11-88H12.2		64576001	chr3		1052	27-	1+		+
		66521000	MAGI1	0.496324	LRIG1,MAGI1,MAGI1-AS1,MAGI1-IT1,RF00019,RN7SL482P,RNU6-787P,RP11-175F9.1,RP11-320P11.1,RP11-714G12.1,SLC25A26		65671001	chr3		811	0-			+
	EOGT	68984000		0.451075	EOGT,FAM19A1,FAM19A4,KBTBD8,MIR4272,RNA5SP135,RP11-1008M1.1,RP11-223D18.1,RP11-436J20.1,RP11-436J20.2,RP11-814M22.1,RP11-814M22.2,RP11-81N13.1,RP11-85I21.1,RP11-89A12.1,SUCLG2		66521001	chr3		2339		11+		+
	MITF	69742000	EOGT	0.572323	ARL6IP5,CTD-2013N24.2,EOGT,FRMD4B,LMOD3,MIR3136,MITF,RP11-185E15.1,RP11-444P10.1,RP11-62G11.1,RP11-62G11.2,TMF1,UBA3		68984001	chr3		723	10-	0-		+
	RP11-231I13.2	70269000	MITF	0.467218	MITF,RN7SL418P,RP11-231I13.1,RP11-231I13.2,RP11-963H1.1,SAMMSON		69742001	chr3		516	1+	2+		+
	FOXP1	70999000	RP11-231I13.2	0.297977	FOXP1,RNU6-281P,RP11-231I13.2,RP11-430J3.1,RP11-430J3.2,SAMMSON		70269001	chr3		700	1-	13+		+
		71637000	FOXP1	0.427214	FOXP1,MIR1284,RP11-154H23.1,RP11-154H23.3,RP11-154H23.4,RP11-154H23.5,RP11-298C2.1,RP11-905F6.1		70999001	chr3		605	12-			+
		72125000		0.333737	EIF4E3,GPR27,PROK2,RN7SL271P,RP11-398A8.1,RP11-398A8.2,RP11-398A8.3,RP11-398A8.4,RP11-398A8.5,RP11-648C16.1		71637001	chr3		460				+
	GXYLT2	72958000		0.285573	FTHL23,GXYLT2,PSMD12P,RF00017,RNA5SP136,RNU1-62P,RP11-433A10.1,RP11-433A10.2,RP11-433A10.3,RP11-447M4.1,RP11-624D20.1,RP11-654C22.1,RP11-654C22.2,RP11-728B21.3,RYBP,SHQ1		72125001	chr3		775		4-		+
	PPP4R2	73048000	GXYLT2	0.485740	GXYLT2,PPP4R2,RNU7-19P		72958001	chr3		85	5+	2-		+
		75519000	PPP4R2	0.205042	ALG1L6P,CNTN3,CTD-2006M22.1,CTD-2006M22.2,EBLN2,ENPP7P2,FAM86DP,LSP1P2,MIR4444-2,OR7E22P,OR7E55P,OR7E66P,PDZRN3,PPP4R2,RF00017,RN7SL294P,RNU2-64P,RNU6-1270P,RNU6-557P,RNU7-119P,RP11-20B7.1,RP11-24E1.1,RP11-345M4.1,RP11-451J24.1,RP11-508O18.1,RP11-642N14.1,RP11-642N14.2,RP11-705F7.1,RP11-781E19.1,RP11-803B1.2,RP11-803B1.3,RP11-803B1.8		73048001	chr3		2374	3+			+
		75682000	RP11-413E6.12	-0.083613	AGGF1P3,CLUHP10,DUX4L26,FRG2C,LINC00960,MIR1324,OR7E121P,RARRES2P1,RP11-413E6.11,RP11-413E6.12,RP11-413E6.2,RPL23AP49,UNC93B3		75551001	chr3		123	0-			0
		75715000		-0.232876			75682001	chr3		32				-
		90264000		0.175618	C3orf38,CADM2,CGGBP1,CHMP2B,CTD-2053J20.1,EPHA3,GBE1,HTR1F,KRT8P25,LINC00506,MIR3923,MIR4273,MIR4795,MIR5688,POU1F1,PROSP,RF00012,RF00019,RF00342,RN7SKP284,RN7SKP61,RN7SL647P,RN7SL751P,RNU2-28P,RNU6-1129P,RNU6-217P,RNU6-386P,RNU6-712P,RNU6-873P,RNU6ATAC6P,ROBO1,ROBO2,RP11-142L1.1,RP11-142L1.2,RP11-142L1.3,RP11-159G9.4,RP11-171G7.1,RP11-249L12.1,RP11-260O18.1,RP11-26G10.1,RP11-288B15.1,RP11-297L21.1,RP11-312H1.1,RP11-314M24.1,RP11-331K15.1,RP11-341J3.1,RP11-347G18.1,RP11-354H21.1,RP11-354H21.2,RP11-356O23.1,RP11-359D24.1,RP11-43A1.1,RP11-447J13.2,RP11-447J13.3,RP11-450I19.1,RP11-450I19.2,RP11-451B8.1,RP11-47P18.1,RP11-47P18.2,RP11-481N16.1,RP11-520D19.1,RP11-520D19.2,RP11-550F7.1,RP11-557B13.1,RP11-564P9.1,RP11-588D3.1,RP11-651J20.1,RP11-657G2.1,RP11-695J20.1,RP11-695J20.2,RP11-6B4.1,RP11-735B13.1,RP11-735B13.2,RP11-789F5.1,RP11-81P15.2,RP11-88K11.1,RP11-91A15.1,RP11-91A15.2,VGLL3,ZNF654,ZNF717		75715001	chr3		13931				+
		90669000		0.588828			90264001	chr3		362				+
		90798000		-1.414013			90673001	chr3		12				-
		91517000		-0.185215	ABBA01000934.1,RF01699		90868001	chr3		188				-
		93798000		0.582879			91517001	chr3		99				+
		103111000		0.151880	ABI3BP,ADGRG7,ARL13B,ARL6,CEP97,CLDND1,CMSS1,COL8A1,CPOX,CRYBG3,CTD-2021J15.1,CTD-2021J15.2,DCBLD2,DHFRL1,DUSP12P1,EPHA6,FAM172B,FILIP1L,GABRR3,GPR15,IMPG2,LNP1,MIR3921,MIR8060,MTRNR2L12,NFKBIZ,NIT2,NSUN3,NXPE3,OR5AC1,OR5AC2,OR5AC4P,OR5BM1P,OR5H1,OR5H14,OR5H15,OR5H2,OR5H3P,OR5H4P,OR5H5P,OR5H6,OR5H7P,OR5H8P,OR5K1,OR5K2,OR5K3,OR5K4,PCNP,POU5F1P7,PROS1,RF00019,RF00066,RF00322,RIOX2,RNU6-1094P,RNU6-1256P,RNU6-1263P,RNU6-26P,RNU6-461P,RNU6-488P,RNU6-511P,RNU6-865P,RNY1P12,RP11-118N24.1,RP11-118N24.2,RP11-118N24.3,RP11-121C1.1,RP11-124D9.1,RP11-138E24.1,RP11-144C15.1,RP11-144C15.2,RP11-15N24.3,RP11-184F3.1,RP11-201E8.1,RP11-215L17.1,RP11-219E24.1,RP11-221J22.1,RP11-221J22.2,RP11-227H4.1,RP11-227H4.4,RP11-227H4.5,RP11-234A1.1,RP11-280H21.1,RP11-301G23.1,RP11-319J24.1,RP11-319J24.3,RP11-325B23.2,RP11-343D2.11,RP11-346M10.1,RP11-346M10.2,RP11-383I23.2,RP11-389G6.3,RP11-389G6.4,RP11-389G6.5,RP11-398O21.2,RP11-454H13.1,RP11-454H13.5,RP11-454H13.6,RP11-49I4.3,RP11-529P9.1,RP11-569H14.1,RP11-598F17.1,RP11-598F17.2,RP11-663C11.1,RP11-668N23.1,RP11-735O9.1,RP11-778P17.2,RP11-779P15.1,RP11-779P15.2,RP11-892D12.1,RP13-503K1.1,RPL24,SENP7,ST3GAL6,STX19,TBC1D23,TFG,TMEM30CP,TMEM45A,TOMM70,TRMT10C,ZBTB11,ZPLD1		93798001	chr3		8889				0
